url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.primocanale.it/politica/55222-referendum-lavoro-cittadinanza-voto-italia-affluenza-liguria.html,https://www.primocanale.it/politica/55222-referendum-lavoro-cittadinanza-voto-italia-affluenza-liguria.amp.html,"Referendum , seggi aperti fino alle 15 . In Liguria ha votato il 26 , 4 % - Primocanale . it - Le notizie aggiornate dalla Liguria",20250609T083000Z,https://www.primocanale.it/images/referendum5schede169p36019.jpg,primocanale.it,Italian,Italy
https://www.lanuovasardegna.it/italia-mondo/cronaca/2025/06/08/news/referendum-affluenza-in-diretta-tutti-i-dati-nazionali-comune-per-comune-1.100718704,,"Referendum , affluenza 8 - 9 giugno : i dati in tempo reale e il quorum",20250608T114500Z,https://api-sites-prd.saegroup.abinsula.com/api/social/image/contentid/policy:1.100718703:1749381654/Copia%20di%20Copia%20di%20Progetto%20senza%20titolo%20-%202025-06-08T132028.241.jpg,lanuovasardegna.it,Italian,Italy
https://oggitreviso.it/referendum-seconda-giornata-urne-aperte-fino-alle-15-ieri-affluenza-227-au16145-356912,,"Referendum , seconda giornata : urne aperte fino alle 15 . Ieri affluenza 22 , 7 % ",20250609T094500Z,https://www.oggitreviso.it/sites/default/files/styles/505/public/field/image/referendum_ipa.jpg?itok=T8a4nqRF,oggitreviso.it,Italian,Italy
https://quifinanza.it/politica/referendum-8-9-giugno-affluenza/913786/,https://quifinanza.it/politica/referendum-8-9-giugno-affluenza/913786/amp/,"Referendum 8 - 9 giugno , affluenza e dati aggiornati",20250609T091500Z,https://quifinanza.it/wp-content/uploads/sites/5/2025/06/referendum-2.jpg,quifinanza.it,Italian,Italy
https://www.ilfogliettone.it/referendum-senza-spinta-alle-23-si-viaggia-sotto-il-25-quorum-a-rischio/,https://www.ilfogliettone.it/referendum-senza-spinta-alle-23-si-viaggia-sotto-il-25-quorum-a-rischio/amp/,"Referendum senza spinta : alle 23 si viaggia sotto il 25 %, quorum a rischio",20250609T013000Z,https://www.ilfogliettone.it/wp-content/uploads/2024/06/elezioni.jpeg,ilfogliettone.it,Italian,Italy
https://tg.la7.it/politica/referendum-voto-seggi-amministrative-09-06-2025-239019,https://tg.la7.it/politica/referendum-voto-seggi-amministrative-09-06-2025-239019/amp,"Referendum : seggi aperti dalle 7 alle 15 . Affluenza alle 22 di ieri sera al 22 , 7 % ",20250609T060000Z,https://tg.la7.it/sites/default/files/news/2025/06/09/schede1.jpg,tg.la7.it,Italian,Italy
https://www.zazoom.it/2025-06-09/referendum-alle-23-affluenza-al-2269-calabria-e-sicilia-sempre-in-coda-entrambe-sono-al-16-quorum-lontanissimo-lunedi-si-vota-dalle-7-alle-15/17151267/,,"Referendum alle 23 affluenza al 22 , 69 % Calabria e Sicilia sempre in coda | entrambe sono al 16 % Quorum lontanissimo Lunedì si vota dalle 7 alle 15",20250609T044500Z,https://assets.gazzettadelsud.it/2025/06/referendum-970x485.jpg,zazoom.it,Italian,Italy
https://www.strettoweb.com/2025/06/referendum-affluenza-urne-ore-19-flop-calabria-sicilia/1922563/,https://www.strettoweb.com/2025/06/referendum-affluenza-urne-ore-19-flop-calabria-sicilia/1922563/amp/,"Referendum : laffluenza alle urne alle 19 , flop in Calabria e Sicilia",20250608T211500Z,https://www.strettoweb.com/wp-content/uploads/2025/06/Referendum-8-9-giugno-1-1200x866.jpg,strettoweb.com,Italian,Italy
https://www.strettoweb.com/2025/06/referendum-affluenza-urne-ore-12-quorum-difficilissimo/1922384/,https://www.strettoweb.com/2025/06/referendum-affluenza-urne-ore-12-quorum-difficilissimo/1922384/amp/,"Referendum : laffluenza alle urne alle ore 12 , quorum difficilissimo",20250608T111500Z,https://www.strettoweb.com/wp-content/uploads/2025/06/Referendum-8-9-giugno-4-1200x900.jpg,strettoweb.com,Italian,Italy
https://www.lametino.it/Speciale-Elezioni/referendum-affluenza-alle-12-in-calabria-del-4-41-a-lamezia-dell-8-85.html,,"Referendum , affluenza alle 12 in Calabria del 4 , 38 %: a Lamezia dell  8 , 85 % ",20250608T163000Z,https://www.lametino.it/images/stories/5-ref-Image-2025-06-08-at-08.24.17_234e7.jpg,lametino.it,Italian,Italy
